vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,year_stolen,month_stolen,month_name,day_of_week,make_name,make_type,region,country,population,density,vehicle_age,quarter,age_group,is_luxury,is_twowheeler,theft_per_100k,day_order,month_order,quarter_order,age_group_order
1115,Stationwagon,576,1996,MPV,Red,2021-10-17,103,2021,10,Oct,Sunday,Mazda,Standard,Waikato,New Zealand,513800.0,21.5,25,Q4,20+ years,0,0,71.82,7,1,4,4
1116,Saloon,548,2001,VX COMMODORE,Red,2022-01-16,106,2022,1,Jan,Sunday,Holden,Standard,Hawke's Bay,New Zealand,182700.0,12.92,21,Q1,20+ years,0,0,54.73,7,4,1,4
1117,Other Truck,587,1996,CONDOR,White,2021-11-15,102,2021,11,Nov,Monday,Nissan,Standard,Auckland,New Zealand,1695200.0,343.09,25,Q4,20+ years,0,0,96.15,1,2,4,4
1118,Stationwagon,580,1996,RVR,Blue,2022-01-07,105,2022,1,Jan,Friday,Mitsubishi,Standard,Gisborne,New Zealand,52100.0,6.21,26,Q1,20+ years,0,0,335.89,5,4,1,4
1119,Stationwagon,587,1992,TERRANO,Blue,2022-03-04,105,2022,3,Mar,Friday,Nissan,Standard,Gisborne,New Zealand,52100.0,6.21,30,Q1,20+ years,0,0,335.89,5,6,1,4
1120,Stationwagon,550,1996,ODYSSEY,Blue,2021-11-11,104,2021,11,Nov,Thursday,Honda,Standard,Bay of Plenty,New Zealand,347700.0,28.8,25,Q4,20+ years,0,0,127.98,4,2,4,4
1121,Hatchback,633,2003,GOLF,Black,2022-03-30,102,2022,3,Mar,Wednesday,Volkswagen,Standard,Auckland,New Zealand,1695200.0,343.09,19,Q1,11-20 years,0,0,96.15,3,6,1,3
1122,Saloon,580,2000,LANCER,Grey,2022-03-24,109,2022,3,Mar,Thursday,Mitsubishi,Standard,Wellington,New Zealand,543500.0,67.52,22,Q1,20+ years,0,0,76.72,4,6,1,4
1123,Hatchback,576,1999,FAMILIA,Silver,2022-03-10,109,2022,3,Mar,Thursday,Mazda,Standard,Wellington,New Zealand,543500.0,67.52,23,Q1,20+ years,0,0,76.72,4,6,1,4
1124,Saloon,540,2003,FALCON,Red,2021-12-02,108,2021,12,Dec,Thursday,Ford,Standard,Manawatū-Whanganui,New Zealand,258200.0,11.62,18,Q4,11-20 years,0,0,53.83,4,3,4,3
1125,Stationwagon,556,1998,BIGHORN,White,2022-02-23,111,2022,2,Feb,Wednesday,Isuzu,Standard,Nelson,New Zealand,54500.0,129.15,24,Q1,20+ years,0,0,168.81,3,5,1,4
1126,Light Van,619,1995,HIACE,White,2022-01-31,102,2022,1,Jan,Monday,Toyota,Standard,Auckland,New Zealand,1695200.0,343.09,27,Q1,20+ years,0,0,96.15,1,4,1,4
1127,Stationwagon,587,1998,PRIMERA,Silver,2022-04-04,102,2022,4,Apr,Monday,Nissan,Standard,Auckland,New Zealand,1695200.0,343.09,24,Q2,20+ years,0,0,96.15,1,7,2,4
1128,Hatchback,531,2003,CHARADE,Green,2022-03-21,106,2022,3,Mar,Monday,Daihatsu,Standard,Hawke's Bay,New Zealand,182700.0,12.92,19,Q1,11-20 years,0,0,54.73,1,6,1,3
1129,Saloon,512,2005,323I,White,2022-02-22,102,2022,2,Feb,Tuesday,BMW,Luxury,Auckland,New Zealand,1695200.0,343.09,17,Q1,11-20 years,1,0,96.15,2,5,1,3
1130,Light Van,619,1994,ESTIMA,Grey,2022-03-17,104,2022,3,Mar,Thursday,Toyota,Standard,Bay of Plenty,New Zealand,347700.0,28.8,28,Q1,20+ years,0,0,127.98,4,6,1,4
1131,Stationwagon,610,1997,LEGACY,Black,2022-02-11,104,2022,2,Feb,Friday,Subaru,Standard,Bay of Plenty,New Zealand,347700.0,28.8,25,Q1,20+ years,0,0,127.98,5,5,1,4
1132,Stationwagon,610,1996,IMPREZA,Red,2022-02-25,111,2022,2,Feb,Friday,Subaru,Standard,Nelson,New Zealand,54500.0,129.15,26,Q1,20+ years,0,0,168.81,5,5,1,4
1133,Saloon,576,2003,MAZDA6,Blue,2022-04-01,102,2022,4,Apr,Friday,Mazda,Standard,Auckland,New Zealand,1695200.0,343.09,19,Q2,11-20 years,0,0,96.15,5,7,2,3
1134,Hatchback,550,2003,JAZZ,Black,2021-10-17,101,2021,10,Oct,Sunday,Honda,Standard,Northland,New Zealand,201500.0,16.11,18,Q4,11-20 years,0,0,116.13,7,1,4,3
1135,Hatchback,550,2003,JAZZ,Black,2021-10-21,101,2021,10,Oct,Thursday,Honda,Standard,Northland,New Zealand,201500.0,16.11,18,Q4,11-20 years,0,0,116.13,4,1,4,3
1136,Saloon,580,2003,LANCER,White,2022-01-09,102,2022,1,Jan,Sunday,Mitsubishi,Standard,Auckland,New Zealand,1695200.0,343.09,19,Q1,11-20 years,0,0,96.15,7,4,1,3
1137,Saloon,587,1999,CEDRIC,White,2022-01-29,114,2022,1,Jan,Saturday,Nissan,Standard,Canterbury,New Zealand,655000.0,14.72,23,Q1,20+ years,0,0,100.76,6,4,1,4
