vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,year_stolen,month_stolen,month_name,day_of_week,make_name,make_type,region,country,population,density,vehicle_age,quarter,age_group,is_luxury,is_twowheeler,theft_per_100k,day_order,month_order,quarter_order,age_group_order
923,Moped,585,2009,MOTO NZ50,Black,2021-12-28,102,2021,12,Dec,Tuesday,Moped,Standard,Auckland,New Zealand,1695200.0,343.09,12,Q4,11-20 years,0,1,96.15,2,3,4,3
924,Moped,617,2018,ROMA,Black,2022-02-16,109,2022,2,Feb,Wednesday,TNT Motor,Standard,Wellington,New Zealand,543500.0,67.52,4,Q1,0-5 years,0,1,76.72,3,5,1,1
925,Roadbike,561,2018,EX,Black,2022-03-22,102,2022,3,Mar,Tuesday,Kawasaki,Standard,Auckland,New Zealand,1695200.0,343.09,4,Q1,0-5 years,0,1,96.15,2,6,1,1
926,Roadbike,545,2006,SPORTSTER,Blue,2022-03-30,102,2022,3,Mar,Wednesday,Harley Davidson,Standard,Auckland,New Zealand,1695200.0,343.09,16,Q1,11-20 years,0,1,96.15,3,6,1,3
927,Moped,566,2016,LIKE,Red,2022-01-05,102,2022,1,Jan,Wednesday,Kymco,Standard,Auckland,New Zealand,1695200.0,343.09,6,Q1,6-10 years,0,1,96.15,3,4,1,2
928,Moped,538,2018,ARIIC,Black,2021-10-30,114,2021,10,Oct,Saturday,Factory Built,Standard,Canterbury,New Zealand,655000.0,14.72,3,Q4,0-5 years,0,1,100.76,6,1,4,1
929,Moped,617,2018,OTTO,Black,2021-12-06,115,2021,12,Dec,Monday,TNT Motor,Standard,Otago,New Zealand,246000.0,7.89,3,Q4,0-5 years,0,1,56.5,1,3,4,1
930,Roadbike,636,2018,YZF,Blue,2022-01-02,102,2022,1,Jan,Sunday,Yamaha,Standard,Auckland,New Zealand,1695200.0,343.09,4,Q1,0-5 years,0,1,96.15,7,4,1,1
931,Moped,541,2019,CICLONE,Black,2021-10-22,102,2021,10,Oct,Friday,Forza,Standard,Auckland,New Zealand,1695200.0,343.09,2,Q4,0-5 years,0,1,96.15,5,1,4,1
932,Roadbike,561,2019,EX,Black,2022-02-24,109,2022,2,Feb,Thursday,Kawasaki,Standard,Wellington,New Zealand,543500.0,67.52,3,Q1,0-5 years,0,1,76.72,4,5,1,1
933,Moped,611,2019,UZ50,Blue,2021-11-21,103,2021,11,Nov,Sunday,Suzuki,Standard,Waikato,New Zealand,513800.0,21.5,2,Q4,0-5 years,0,1,71.82,7,2,4,1
